KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
flight disruption compensation,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
flight compensation rules,30,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
can i claim for a cancelled flight,10,10,10,0%,Travel - Cancellation - Compensation - Question,Financial Hardship
travel insurance cover hotel cancellation,10,10,10,0%,Travel - Cancellation - Insurance,Financial Hardship
travel insurance free cancellation,10,10,10,0%,Travel - Cancellation - Insurance,Financial Hardship
trip insurance flight cancellation,10,10,10,0%,Travel - Cancellation - Insurance,Financial Hardship
flight cancellation cover,20,10,10,0%,Travel - Cancellation - Insurance,Financial Hardship
travel and cancellation insurance,20,10,10,0%,Travel - Cancellation - Insurance,Financial Hardship
trip cancellation insurance comparison,20,10,10,0%,Travel - Cancellation - Insurance,Financial Hardship
cancelled flight quotes,10,10,10,0%,Travel - Cancellation - Question,Health & Safety
which flight compensation,10,10,10,0%,Travel - Cancellation - Question,Financial Hardship
cancel air reservation southwest,10,10,10,0%,Travel - Cancellation - Reserve - Question,Health & Safety
flight booking cancellation charges,0,10,10,0%,Travel - Cancellation- Charges,Financial Hardship
flight claim eu,10,10,10,0%,Travel - Compensation,Financial Hardship
missed flight compensation,30,10,10,0%,Travel - Compensation,Financial Hardship
rebooking airline tickets,10,10,10,0%,Travel - Fees - Rebooking,Financial Hardship
rebook your flight,10,10,10,0%,Travel - Fees - Rebooking,Financial Hardship
rebook flight ticket,10,10,10,0%,Travel - Fees - Rebooking,Financial Hardship
rebook the flight,10,10,10,0%,Travel - Fees - Rebooking,Financial Hardship
travel health website,30,10,10,0%,Travel - Health,Health & Safety
hotel cancelled my reservation,40,70,70,0%,Travel - Hotel - Cancellation,Financial Hardship
cancel my hotel reservation,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
quality hotel cancellation policy,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation offers,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation fees legal,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel has cancelled my booking,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel room cancellation letter,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation charges,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation policy law uk,0,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
book cancelled hotel rooms,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
how much are hotel cancellation fees,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancellable hotel reservations,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
can a hotel charge a cancellation fee,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancellation fee for hotel reservation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancel hotel after check in,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancel hotel reservation within 24 hours,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
booking com hotel cancellations,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
can a hotel cancel a confirmed reservation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancelling a hotel room,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancellation policy choice hotels,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancel hotel reservation without penalty,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cheap cancelled hotel rooms,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
best hotel cancellation policy,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancelling hotel rooms law,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cheap hotel cancellations,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
non cancellable hotel reservation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
what does free cancellation mean on hotels com,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
late cancellation hotels,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel booking without cancellation fee,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation policy booking com,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel websites with free cancellation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel sites with free cancellation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel reservation cancellation fee,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
how can i cancel my hotel reservation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
how much is a cancellation fee for a hotel,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
how much does it cost to cancel a hotel reservation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
consumer rights cancelling hotel booking,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancelled my booking,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancel hotel reservation email,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
consumer rights hotel cancellation,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
no cancellation fee hotel booking,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
reason to cancel hotel booking,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
if you book a hotel can you cancel,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
cancellation policy hotel example,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel booking cancellation letter,10,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
how late can you cancel a hotel reservation,20,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
what happens if you cancel a hotel reservation,20,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation deals,30,10,10,0%,Travel - Hotel - Cancellation,Financial Hardship
how to get refund from hotel,10,20,20,0%,Travel - Hotel - Refund,Financial Hardship
cancel non refundable hotel room,0,10,10,0%,Travel - Hotel - Refund,Financial Hardship
refund hotel booking,0,10,10,0%,Travel - Hotel - Refund,Financial Hardship
hotel refund rights,0,10,10,0%,Travel - Hotel - Refund,Financial Hardship
how to get a refund on a hotel room,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
can i get a refund on a hotel,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
non refundable hotel rates,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
what does non refundable mean when booking a hotel,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
how to cancel hotel reservations on non refundable,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
how to get a refund on non refundable hotel room,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
fully refundable hotel booking,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
hotel tax refund,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
how to get out of non refundable hotel reservations,10,10,10,0%,Travel - Hotel - Refund,Financial Hardship
where to travel to this summer,20,20,20,0%,Travel - Information - Question,Travel Distruption
where to go over the summer,10,10,10,0%,Travel - Information - Question,Travel Distruption
travel insurance cancellation due to illness,10,10,10,0%,Travel - Insurance - Cancellation,Financial Hardship
trip cancellation insurance on credit card,10,10,10,0%,Travel - Insurance - Cancellation,Health & Safety
cancel travelers insurance,260,260,260,0%,Travel - Insurance - Cancellation - Question,Health & Safety
travel loan relief program,10,10,10,0%,Travel - Insurance - Relief,Financial Hardship
international air travel,260,"1,000",1000,0%,Travel - International,Health & Safety
essential travel information,10,10,10,0%,Travel - News,Health & Safety
trump news on travel ban,10,10,10,0%,Travel - News,Health & Safety
plane travel prices,10,10,10,0%,Travel - Plane - Price,Financial Hardship
flight cancelled can i get a refund,10,40,40,0%,Travel - Refund,Financial Hardship
cheap non refundable flights,0,10,10,0%,Travel - Refund,Financial Hardship
flight non refundable,0,10,10,0%,Travel - Refund,Financial Hardship
book non refundable flight tickets,10,10,10,0%,Travel - Refund,Financial Hardship
refundable flights only,10,10,10,0%,Travel - Refund,Financial Hardship
international refundable flights,10,10,10,0%,Travel - Refund,Financial Hardship
find refundable flights,10,10,10,0%,Travel - Refund,Financial Hardship
flight ticket refund rules,10,10,10,0%,Travel - Refund,Financial Hardship
best refundable flights,20,10,10,0%,Travel - Refund,Financial Hardship
can a flight ticket be refunded,10,10,10,0%,Travel - Refund - Question,Financial Hardship
eu regulation 261,110,210,210,0%,Travel - Regulations,Financial Hardship
new airport regulations,10,10,10,0%,Travel - Regulations,Health & Safety
quarantine restrictions,50,"1,000",1000,0%,Travel - Restriction,Travel Distruption
safest airport in the world,110,50,50,0%,Travel - Safe,Health & Safety
safest airport,20,20,20,0%,Travel - Safe,Health & Safety
safest airports in us,0,10,10,0%,Travel - Safe,Health & Safety
safety rules when travelling by air,0,10,10,0%,Travel - Safe,Health & Safety
airport safety rules,10,10,10,0%,Travel - Safe,Health & Safety
faa airline safety,10,10,10,0%,Travel - Safe,Health & Safety
flying safety tips for passengers,10,10,10,0%,Travel - Safe,Health & Safety
aviation safety procedures,10,10,10,0%,Travel - Safe,Health & Safety
airline safety procedures,10,10,10,0%,Travel - Safe,Health & Safety
airline safety rules,10,10,10,0%,Travel - Safe,Health & Safety
airline safety rules and regulations,10,10,10,0%,Travel - Safe,Health & Safety
air flight safety,10,10,10,0%,Travel - Safe,Health & Safety
aviation safety facts,10,10,10,0%,Travel - Safe,Health & Safety
airline safety measures,10,10,10,0%,Travel - Safe,Health & Safety
air safety rules,10,10,10,0%,Travel - Safe,Health & Safety
airport safety and security,10,10,10,0%,Travel - Safe,Health & Safety
air travel safety statistics,30,10,10,0%,Travel - Safe,Health & Safety
is it safe to vacation in europe,10,10,10,0%,Travel - Safe - Question,Health & Safety
summer travel guide,0,10,10,0%,Travel - Summer,Health & Safety
countries banned from entering america,10,10,10,0%,Travel - Travel Ban,Health & Safety
how to know if you have travel ban,0,10,10,0%,Travel - Travel Ban - Question,Health & Safety
what is the meaning of travel ban,30,10,10,0%,Travel - Travel Ban - Question,Health & Safety
american airlines flight credit,260,"1,000",880,-12%,Travel - Airline - Credit,Financial Hardship
fogging disinfection machine,90,"1,900",1600,-16%,Travel - Airline - Cleanliness,Health & Safety
steps to wash your hands,320,"1,900",1600,-16%,Travel - Airline - Cleanliness,Health & Safety
airline cancelled flight refund,90,"1,900",1600,-16%,Travel - Refund,Financial Hardship
flight cancellation rights,110,170,140,-18%,Travel - Cancellation,Financial Hardship
eu261 claim,90,170,140,-18%,Travel - Regulations,Financial Hardship
if airline cancels flight,30,390,320,-18%,Travel - Cancellation,Financial Hardship
how to get a full refund from delta,10,110,90,-18%,Travel - Airline - Cancellation - Refund - Question,Financial Hardship
refundable airline tickets,"1,900","9,900",8100,-18%,Travel - Airline - Refund,Financial Hardship
delta refund request,390,"4,400",3600,-18%,Travel - Airline - Refund,Financial Hardship
claim for cancelled flight,70,110,90,-18%,Travel - Cancellation,Financial Hardship
summer break,"6,600","9,900",8100,-18%,Travel - Summer,Health & Safety
travel insurance,"450,000","450,000",368000,-18%,Travel - Insurance,Financial Hardship
united airlines refund,"6,600","40,500",33100,-18%,Travel - Airline - Cancellation - Refund,Financial Hardship
delta refund,"1,900","22,200",18100,-18%,Travel - Airline - Refund,Financial Hardship
united refund,"6,600","22,200",18100,-18%,Travel - Airline - Refund,Financial Hardship
united air refund,50,320,260,-19%,Travel - Airline - Cancellation - Refund,Financial Hardship
waiver form,"1,600","1,600",1300,-19%,Travel - Waivers,Financial Hardship
refundable air tickets,90,260,210,-19%,Travel - Airline - Refund,Financial Hardship
is travel insurance refundable,50,260,210,-19%,Travel - Insurance,Financial Hardship
traveling state to state,50,"3,600",2900,-19%,Travel - Information,Travel Distruption
rebook ticket,20,50,40,-20%,Travel - Fees - Rebooking,Financial Hardship
united airlines cancelled flight refund,170,"2,400",1900,-21%,Travel - Airline - Cancellation,Health & Safety
airline refund policy,260,"2,400",1900,-21%,Travel - Airline - Refund,Financial Hardship
ticket refund,880,"2,400",1900,-21%,Travel - Airline - Refund,Financial Hardship
aircraft interior cleaning,70,90,70,-22%,Travel - Airline - Cleanliness,Health & Safety
vacation news,50,90,70,-22%,Travel - News,Health & Safety
flight rights,70,90,70,-22%,Travel - Regulations,Financial Hardship
summer places to go,50,90,70,-22%,Travel - Summer,Health & Safety
delta date change,20,40,30,-25%,Travel - Airline - Change,Travel Distruption
rights if flight cancelled,10,40,30,-25%,Travel - Cancellation,Financial Hardship
flight cancellation insurance only,40,40,30,-25%,Travel - Insurance - Cancellation,Financial Hardship
non refundable ticket flight cancelled,10,40,30,-25%,Travel - Refund,Financial Hardship
if i book a flight can i get a refund,10,40,30,-25%,Travel - Refund - Question,Financial Hardship
how to do hand washing,20,70,50,-29%,Travel - Airline - Cleanliness,Health & Safety
delta airlines free tickets,40,70,50,-29%,Travel - Airline - Ticket,Financial Hardship
eu airline compensation,70,70,50,-29%,Travel - Cancellation - Compensation,Financial Hardship
best places to travel in the summer,"1,300",880,590,-33%,Travel - Best,Financial Hardship
how to get airline ticket refund,170,880,590,-33%,Travel - Refund - Question,Financial Hardship
travelup cancellation policy,10,30,20,-33%,Travel - Airline - Cancellation - Policy,Financial Hardship
aircraft cabin cleaning process,20,30,20,-33%,Travel - Airline - Cleanliness,Health & Safety
airport changes,20,30,20,-33%,Travel - Airline - News,Financial Hardship
delta airlines refundable flights,10,30,20,-33%,Travel - Airline - Refund,Financial Hardship
can i get a refund from american airlines,10,720,480,-33%,Travel - Airline - Refund - Question,Financial Hardship
flight cancellation compensation letter,30,30,20,-33%,Travel - Arline - Cancellation - Compensation,Financial Hardship
trip cancellation and interruption insurance,140,210,140,-33%,Travel - Cancellation,Financial Hardship
flight rescheduled compensation,20,30,20,-33%,Travel - Cancellation - Compensation,Financial Hardship
flight diverted compensation,50,30,20,-33%,Travel - Cancellation - Compensation,Financial Hardship
trip cancellation insurance cost,50,30,20,-33%,Travel - Cancellation - Insurance,Financial Hardship
flight change compensation,50,30,20,-33%,Travel - Compensation,Financial Hardship
can you rebook a flight,10,30,20,-33%,Travel - Fees - Rebooking - Question,Financial Hardship
non refundable hotel policy,10,30,20,-33%,Travel - Hotel - Refund,Financial Hardship
how to get a hotel refund,20,30,20,-33%,Travel - Hotel - Refund,Financial Hardship
when do airlines refund tickets,10,30,20,-33%,Travel - Refund - Question,Financial Hardship
safest airlines,"4,400","2,400",1600,-33%,Travel - Safe,Health & Safety
safest airports,20,30,20,-33%,Travel - Safe,Health & Safety
airline travel safety tips,20,30,20,-33%,Travel - Safe,Health & Safety
my flight was cancelled,110,590,390,-34%,Travel - Cancellation,Financial Hardship
american airlines cancelled flight refund,260,"4,400",2900,-34%,Travel - Airline - Cancellation,Health & Safety
is it safe to fly southwest right now,210,320,210,-34%,Travel - Safe - Question,Health & Safety
flight cancellation rules,70,260,170,-35%,Travel - Cancellation,Financial Hardship
plane insurance,170,170,110,-35%,Travel - Plane - Insurance,Travel Distruption
southwest cancelled flight credit,50,110,70,-36%,Travel - Airline - Cancellation,Health & Safety
american airlines cancelled my flight can i get a refund,10,110,70,-36%,Travel - Airline - Cancellation - Refund - Question,Financial Hardship
return flight ticket,110,110,70,-36%,Travel - Airline - Refund,Financial Hardship
flight got cancelled,40,110,70,-36%,Travel - Cancellation,Financial Hardship
air passenger rights,90,110,70,-36%,Travel - Cancellation,Financial Hardship
airport safety tips,90,110,70,-36%,Travel - Safe,Health & Safety
rebooking,590,"1,600",1000,-38%,Travel - Fees - Rebooking,Financial Hardship
antimicrobial disinfectant fogging,10,50,30,-40%,Travel - Airline - Cleanliness,Health & Safety
i cancelled my flight,10,50,30,-40%,Travel - Cancellation,Financial Hardship
hotel booking cancellation letter sample,20,50,30,-40%,Travel - Hotel - Cancellation,Financial Hardship
non refundable hotel reservation,40,50,30,-40%,Travel - Hotel - Refund,Financial Hardship
can you get a refund if you cancel your flight,20,50,30,-40%,Travel - Refund - Question,Financial Hardship
safest airports in the us,20,50,30,-40%,Travel - Safe,Health & Safety
is disinfectant fogging recommended,10,70,40,-43%,Travel - Airline - Cleanliness,Health & Safety
klm voucher refund,10,90,50,-44%,Travel - Airline - Cancellation - Refund,Financial Hardship
trip interruption coverage,90,90,50,-44%,Travel - Insurance,Financial Hardship
american airlines latest news,140,"1,300",720,-45%,Travel - Airline - News,Health & Safety
refundable flight tickets,590,"1,600",880,-45%,Travel - Airline - Refund,Financial Hardship
how to wash hands,"4,400","40,500",22200,-45%,Travel - Airline - Cleanliness,Health & Safety
refundable flights,"2,400","14,800",8100,-45%,Travel - Airline - Refund,Financial Hardship
florida travel ban,20,"18,100",9900,-45%,Travel - Travel Ban,Health & Safety
delta airlines news,"4,400","27,100",14800,-45%,Travel - Airline - News,Health & Safety
united refund policy,"1,000","6,600",3600,-45%,Travel - Airline - Refund,Financial Hardship
american airlines refundable ticket,"1,000","6,600",3600,-45%,Travel - Airline - Refund,Financial Hardship
travel industry,"1,600","8,100",4400,-46%,Travel - Information,Health & Safety
how to get a refund from airbnb,260,720,390,-46%,Travel - Airline - Refund - Question,Financial Hardship
check flight cancellations,110,480,260,-46%,Travel - Cancellation,Financial Hardship
if i cancel flight refund,30,480,260,-46%,Travel - Refund - Question,Financial Hardship
best travel tips,390,260,140,-46%,Travel - Best,Financial Hardship
hotel booking cancelon,210,390,210,-46%,Travel - Hotel - Cancellation,Financial Hardship
hotel refund laws,210,260,140,-46%,Travel - Hotel - Refund,Financial Hardship
can i travel,320,"5,400",2900,-46%,Travel - Question,Health & Safety
american airlines rebook flight,40,320,170,-47%,Travel - Airline - Move/Rebook,Travel Distruption
eu flight compensation,320,320,170,-47%,Travel - Cancellation - Compensation,Financial Hardship
air travel guidelines,50,170,90,-47%,Travel - Guidelines,Health & Safety
cancellation insurance,"1,300","1,900",1000,-47%,Travel - Insurance - Cancellation,Financial Hardship
aircraft cabin cleaning,320,210,110,-48%,Travel - Airline - Cleanliness,Health & Safety
airline compensation for cancelled flights,110,210,110,-48%,Travel - Arline - Cancellation - Compensation,Financial Hardship
airbnb cancellation insurance,70,210,110,-48%,Travel - Insurance - Cancellation,Health & Safety
travel advisory sites,20,20,10,-50%,Travel - Advisory,Health & Safety
american airlines flight was cancelled,20,40,20,-50%,Travel - Airline - Cancellation,Health & Safety
best cancellation policy airline,20,20,10,-50%,Travel - Airline - Cancellation,Health & Safety
delta points refund policy,10,20,10,-50%,Travel - Airline - Cancellation - Policy,Financial Hardship
cancelling spirit airlines ticket,10,20,10,-50%,Travel - Airline - Cancellation - Question,Health & Safety
what if flight is cancelled by airline,10,20,10,-50%,Travel - Airline - Cancellation - Question,Health & Safety
delta flight exchange,10,20,10,-50%,Travel - Airline - Change,Travel Distruption
disinfectant fog duct cleaning,10,20,10,-50%,Travel - Airline - Cleanliness,Health & Safety
aircraft exterior cleaning procedure,10,20,10,-50%,Travel - Airline - Cleanliness,Health & Safety
what airports are closed in new york,0,40,20,-50%,Travel - Airline - News,Financial Hardship
airlines that offer refunds,10,20,10,-50%,Travel - Airline - Refund,Financial Hardship
claim compensation for cancelled flight,50,40,20,-50%,Travel - Arline - Cancellation - Compensation,Financial Hardship
airline cancellation compensation,10,20,10,-50%,Travel - Arline - Cancellation - Compensation,Financial Hardship
can i get compensation for a cancelled flight,40,40,20,-50%,Travel - Arline - Cancellation - Compensation - Question,Financial Hardship
passenger rights cancelled flight,70,140,70,-50%,Travel - Cancellation,Financial Hardship
travel interruption,10,20,10,-50%,Travel - Cancellation,Financial Hardship
eu passenger rights cancelled flight,10,20,10,-50%,Travel - Cancellation,Financial Hardship
do credit cards cover cancelled flights,10,20,10,-50%,Travel - Cancellation,Health & Safety
flights london cancelled,10,20,10,-50%,Travel - Cancellation,Health & Safety
trip cancellation and interruption,20,20,10,-50%,Travel - Cancellation,Financial Hardship
european flight compensation,50,40,20,-50%,Travel - Cancellation - Compensation,Financial Hardship
cancelled flight eu compensation,10,20,10,-50%,Travel - Cancellation - Compensation,Financial Hardship
claim airline compensation,40,20,10,-50%,Travel - Cancellation - Compensation,Financial Hardship
travel insurance for trip cancellation only,40,40,20,-50%,Travel - Cancellation - Insurance,Financial Hardship
cancellation of travel insurance,10,20,10,-50%,Travel - Cancellation - Insurance,Financial Hardship
travel insurance and flight cancellation,10,20,10,-50%,Travel - Cancellation - Insurance,Financial Hardship
travel insurance for cancelled trip,20,20,10,-50%,Travel - Cancellation - Insurance,Financial Hardship
