KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV APR 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
can you overdraft at bank of america atm,10,10,20,100%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
can you get an overdraft on a current account,10,10,20,100%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
how can i cancel my bank of america account,10,10,20,100%,Finance - Banking - Funds Return - Question,Financial Hardship
can i pay more on my credit card,10,10,20,100%,Finance - Banking - Funds Return - Question,Financial Hardship
how can i lower my credit card minimum payment,10,10,20,100%,Finance - Banking - Funds Return - Question,Financial Hardship
donald trump student loan plan,10,10,20,100%,Finance - Banking - Loans - Student,Financial Hardship
what is an administrative forbearance for student loans,10,10,20,100%,Finance - Banking - Loans - Student - Question,Financial Hardship
how hard is it to pay back student loans,10,10,20,100%,Finance - Banking - Loans - Student - Question,Financial Hardship
how to transfer money from bank to bank for free,20,20,40,100%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money via bank account,10,10,20,100%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money immediately online,10,10,20,100%,Finance - Banking - Transfer Money - Question,Money Mangement
tax relief refund checks,30,110,210,91%,Finance - Banking - Tax Relief,Financial Hardship
can t pay my credit cards,50,90,170,89%,Finance - Banking - Funds Return - Can't,Financial Hardship
if i file bankruptcy what happens to my house,210,210,390,86%,Finance - Banking - Bankruptcy,Financial Hardship
how to wire money from one bank to another,140,260,480,85%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money from bank to bank,"2,900","4,400","8,100",84%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money from bank of america to chase,480,480,880,83%,Finance - Banking - Transfer Money - Question,Money Mangement
the cares act,170,"49,500","90,500",83%,Finance - Banking - The Cares Act,Financial Hardship
forebearence,"74,000","301,000","550,000",83%,Finance - Banking - Forebearence,Financial Hardship
what is forbearance,"4,400","27,100","49,500",83%,Finance - Banking - Relief - Mortgage - Question - Forbearance,Financial Hardship
free payroll processing,50,50,90,80%,Finance - Banking Payroll,Financial Hardship
credit relief services,30,50,90,80%,Finance - Banking - Credit - Relief,Financial Hardship
how hard is it to pay off student loans,40,50,90,80%,Finance - Banking - Loans - Student - Question,Financial Hardship
credit card debt relief options,50,50,90,80%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
how to do online money transfer,50,50,90,80%,Finance - Banking - Transfer Money - Question,Money Mangement
how to use mobile banking,10,40,70,75%,Finance - Banking - Mobile App - Question,Money Mangement
credit card payment assistance program,10,30,50,67%,Finance - Banking - Credit,Financial Hardship
income tax relief program,10,30,50,67%,Finance - Banking - Tax Relief,Financial Hardship
how to sign up for mobile banking,20,30,50,67%,Finance - Banking - Mobile App - Question,Money Mangement
all atm near me,30,30,50,67%,Finance - Banking - ATM - Near Me,Money Mangement
credit card payment assistance,10,70,110,57%,Finance - Banking - Credit,Financial Hardship
how to set up mobile banking,40,70,110,57%,Finance - Banking - Mobile App - Question,Money Mangement
how to get tax relief from the irs,40,70,110,57%,Finance - Banking - Tax Relief - Question,Financial Hardship
can i close my bank account over the phone,50,70,110,57%,Finance - Banking - Closing - Question,Financial Hardship
credit protection bureau,70,70,110,57%,Finance - Banking - Credit - Protection,Financial Hardship
can i get money,90,110,170,55%,Finance - Banking - Funds Return - Question,Financial Hardship
how to send money through bank account,110,110,170,55%,Finance - Banking - Transfer Money - Question,Money Mangement
how can i send money to someone instantly,110,110,170,55%,Finance - Banking - Transfer Money - Question,Money Mangement
mortgage protection insurance unemployment,40,170,260,53%,Finance - Banking - Mortgage,Financial Hardship
irs tax relief help,110,170,260,53%,Finance - Banking - Tax Relief,Financial Hardship
i can t pay my credit card bills,170,170,260,53%,Finance - Banking - Funds Return - Can't,Financial Hardship
how do i transfer money from bank to bank,110,210,320,52%,Finance - Banking - Transfer Money - Question,Money Mangement
can you buy a house if you file bankruptcy,210,210,320,52%,Finance - Banking - Bankruptcy,Financial Hardship
credit card annual fee waiver,210,210,320,52%,Finance - Banking - Credit Cards - Fees,Financial Hardship
credit card late fee waiver,140,390,590,51%,Finance - Banking - Credit Cards - Fees,Financial Hardship
how can i transfer money,320,390,590,51%,Finance - Banking - Transfer Money - Question,Money Mangement
payroll costs for small business,110,140,210,50%,Finance - Banking Payroll,Financial Hardship
outside atm near me,170,480,720,50%,Finance - Banking - ATM - Near Me,Money Mangement
best credit card relief program,10,20,30,50%,Finance - Banking - Credit - Relief,Financial Hardship
can a creditor reopen a charged off account,10,20,30,50%,Finance - Banking - Funds Return - Question,Financial Hardship
federal tax relief refund,10,20,30,50%,Finance - Banking - Tax Relief,Financial Hardship
how to send money to a cell phone,10,20,30,50%,Finance - Banking - Transfer Money - Question,Money Mangement
credit card assistance,140,260,390,50%,Finance - Banking - Credit,Financial Hardship
drive up atm near me,"1,000","1,600","2,400",50%,Finance - Banking - ATM - Near Me,Money Mangement
atm open near me,"1,000","1,600","2,400",50%,Finance - Banking - ATM - Near Me,Money Mangement
drive thru atm near me,"2,900","4,400","6,600",50%,Finance - Banking - ATM - Near Me,Money Mangement
how do i transfer money,210,260,390,50%,Finance - Banking - Transfer Money - Question,Money Mangement
can i close a bank account online,390,480,720,50%,Finance - Banking - Closing - Question,Financial Hardship
can i switch banks online,20,20,30,50%,Finance - Banking - Closing - Question,Financial Hardship
credit card protection companies,20,20,30,50%,Finance - Banking - Credit - Protection,Financial Hardship
safe lock credit protection,20,20,30,50%,Finance - Banking - Credit - Protection,Financial Hardship
best credit relief companies,20,20,30,50%,Finance - Banking - Credit - Relief,Financial Hardship
one missed payment credit score,20,20,30,50%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
what happens if you can t pay your debt,20,20,30,50%,Finance - Banking - Funds Return - Can't - Question - Debt,Financial Hardship
can you use your credit card to pay your mortgage,20,20,30,50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you get a mortgage with a charge off,20,20,30,50%,Finance - Banking - Funds Return - Question,Financial Hardship
how much can you overdraw your account,20,20,30,50%,Finance - Banking - Funds Return - Question,Financial Hardship
sallie mae help with student loans,20,20,30,50%,Finance - Banking - Loans - Student,Financial Hardship
how to apply for student loans,"3,600","3,600","5,400",50%,Finance - Banking - Loans - Student - Question,Financial Hardship
how can i get my student loans forgiven,320,320,480,50%,Finance - Banking - Loans - Student - Question,Financial Hardship
banking app,"3,600","3,600","5,400",50%,Finance - Banking - Mobile App,Money Mangement
how can i wire money to someone,20,20,30,50%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money to someone with a different bank,20,20,30,50%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money between different bank accounts,20,20,30,50%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money from phone to phone,20,20,30,50%,Finance - Banking - Transfer Money - Question,Money Mangement
small business loans,"49,500","301,000","450,000",50%,Finance - Banking - Relief - Business,Financial Hardship
emergency relief program,40,590,880,49%,Finance - Banking - Relief,Financial Hardship
how can i send money online,590,590,880,49%,Finance - Banking - Transfer Money - Question,Money Mangement
can you close a bank account online,880,880,"1,300",48%,Finance - Banking - Closing - Question,Financial Hardship
no penalty ira early withdrawal,10,50,70,40%,Finance - Banking - Early Withdrawal,Financial Hardship
how to apply for tax relief,20,50,70,40%,Finance - Banking - Tax Relief - Question,Financial Hardship
missed credit card payment credit score,40,50,70,40%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
10 early withdrawal penalty 401k,40,50,70,40%,Finance - Banking - Early Withdrawal - 401k,Financial Hardship
how to transfer money from one person to another,40,50,70,40%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money over the phone,50,50,70,40%,Finance - Banking - Transfer Money - Question,Money Mangement
how to create a money transfer app,50,50,70,40%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money from bank to bank,590,720,"1,000",39%,Finance - Banking - Transfer Money - Question,Money Mangement
how to close bank account online,720,720,"1,000",39%,Finance - Banking - Closing - Question,Financial Hardship
how to apply for federal student loans,720,720,"1,000",39%,Finance - Banking - Loans - Student - Question,Financial Hardship
free help for small business owners,10,30,40,33%,Finance - Banking - Relief - Business,Financial Hardship
what kind of government help can i get,10,30,40,33%,Finance - Banking - Relief - Question,Financial Hardship
how does mobile money work,10,30,40,33%,Finance - Banking - Transfer Money - Question,Money Mangement
sallie mae debt relief,20,30,40,33%,Finance - Banking - Loans - Student - Debt,Financial Hardship
how to transfer money from phone,20,30,40,33%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money from account to account,20,30,40,33%,Finance - Banking - Transfer Money - Question,Money Mangement
consumer credit relief,30,30,40,33%,Finance - Banking - Credit - Relief,Financial Hardship
i missed a payment on my credit card,30,30,40,33%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
how to send money to someone without a bank account,880,"1,000","1,300",30%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money to a bank account,880,"1,000","1,300",30%,Finance - Banking - Transfer Money - Question,Money Mangement
auto loan forgiveness programs,30,70,90,29%,Finance - Banking - Loans - Auto,Financial Hardship
credit score protection,40,70,90,29%,Finance - Banking - Credit - Protection,Financial Hardship
can i close my td bank account online,50,70,90,29%,Finance - Banking - Closing - Question,Financial Hardship
how to transfer money using account number,50,70,90,29%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money to a phone number,50,70,90,29%,Finance - Banking - Transfer Money - Question,Money Mangement
missed credit card payment by 3 days,70,70,90,29%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
what is the tax penalty for early 401k withdrawal,70,70,90,29%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
payroll services for small business cost,90,110,140,27%,Finance - Banking Payroll,Financial Hardship
how to fund transfer,70,110,140,27%,Finance - Banking - Transfer Money - Question,Money Mangement
credit card consumer protection,90,110,140,27%,Finance - Banking - Credit - Protection,Financial Hardship
credit protection program,90,110,140,27%,Finance - Banking - Credit - Protection,Financial Hardship
no fee checking accounts no minimum balance,110,110,140,27%,Finance - Banking - Fees - Checking,Financial Hardship
how to transfer money,"1,300","1,900","2,400",26%,Finance - Banking - Transfer Money - Question,Money Mangement
payroll services quotes,40,40,50,25%,Finance - Banking Payroll,Financial Hardship
do credit cards defer payments,10,40,50,25%,Finance - Banking - Credit Cards - Defer,Financial Hardship
payroll software for payroll companies,40,40,50,25%,Finance - Banking Payroll,Financial Hardship
payroll from home,30,40,50,25%,Finance - Banking Payroll,Financial Hardship
staff payroll,30,40,50,25%,Finance - Banking Payroll,Financial Hardship
prepaid payroll,50,40,50,25%,Finance - Banking Payroll,Financial Hardship
how to send money to bank,30,40,50,25%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money through phone,30,40,50,25%,Finance - Banking - Transfer Money - Question,Money Mangement
does national debt relief affect your credit score,40,40,50,25%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
i missed a credit card payment,40,40,50,25%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
payroll customer service,110,210,260,24%,Finance - Banking Payroll,Financial Hardship
how to transfer money between different banks,140,210,260,24%,Finance - Banking - Transfer Money - Question,Money Mangement
atm near me open now,210,210,260,24%,Finance - Banking - ATM - Near Me,Money Mangement
credit protection agency,210,210,260,24%,Finance - Banking - Credit - Protection,Financial Hardship
credit card deferred payment meaning,10,170,210,24%,Finance - Banking - Credit Cards - Defer,Financial Hardship
fed loan forgiveness,140,170,210,24%,Finance - Banking - Loans,Financial Hardship
i need help with my bills,140,170,210,24%,Finance - Banking - Relief,Financial Hardship
what is tax relief,320,"1,300","1,600",23%,Finance - Banking - Tax Relief - Question,Financial Hardship
can t pay credit card bills,90,260,320,23%,Finance - Banking - Funds Return - Can't,Financial Hardship
get financial help,140,390,480,23%,Finance - Banking - Relief,Financial Hardship
credit one credit protection,210,390,480,23%,Finance - Banking - Credit - Protection,Financial Hardship
can you overdraft cash app,140,260,320,23%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
10 early withdrawal penalty,170,260,320,23%,Finance - Banking - Early Withdrawal,Financial Hardship
how to send money to a friend,170,260,320,23%,Finance - Banking - Transfer Money - Question,Money Mangement
can you keep your house if you file bankruptcy,260,390,480,23%,Finance - Banking - Bankruptcy,Financial Hardship
if you file bankruptcy can you keep your house,260,390,480,23%,Finance - Banking - Bankruptcy,Financial Hardship
how to send money without a bank account,210,260,320,23%,Finance - Banking - Transfer Money - Question,Money Mangement
free online payroll,390,480,590,23%,Finance - Banking Payroll,Financial Hardship
waive payment,170,480,590,23%,Finance - Banking - Relief - Credit,Financial Hardship
can a paid charge off be removed from credit report,480,480,590,23%,Finance - Banking - Funds Return - Question,Financial Hardship
how to pay student loans fast,480,480,590,23%,Finance - Banking - Loans - Student - Question,Financial Hardship
cant make my car payment,20,90,110,22%,Finance - Banking - Loans - Auto,Financial Hardship
payroll update,70,90,110,22%,Finance - Banking Payroll,Financial Hardship
how to transfer money between banks for free,70,90,110,22%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money from one account to another,70,90,110,22%,Finance - Banking - Transfer Money - Question,Money Mangement
local atm near me,90,90,110,22%,Finance - Banking - ATM - Near Me,Money Mangement
credit protection,"3,600","3,600","4,400",22%,Finance - Banking - Credit - Protection,Financial Hardship
credit card debt relief,"5,400","5,400","6,600",22%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
remove missed payments from credit report,90,90,110,22%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
waive late fee,260,590,720,22%,Finance - Banking - Relief - Credit,Financial Hardship
credit card debt relief government program,170,320,390,22%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
atm near me with cash,210,320,390,22%,Finance - Banking - ATM - Near Me,Money Mangement
can you close a bank account over the phone,210,320,390,22%,Finance - Banking - Closing - Question,Financial Hardship
credit card debt relief programs,210,320,390,22%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
how to transfer money between bank accounts,260,320,390,22%,Finance - Banking - Transfer Money - Question,Money Mangement
bankruptcy house,320,320,390,22%,Finance - Banking - Bankruptcy,Financial Hardship
missed payment,320,320,390,22%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
how to send money for free,320,320,390,22%,Finance - Banking - Transfer Money - Question,Money Mangement
direct payroll,110,140,170,21%,Finance - Banking Payroll,Financial Hardship
can you close a bank account with a negative balance,90,140,170,21%,Finance - Banking - Closing - Question,Financial Hardship
how to send money between banks,90,140,170,21%,Finance - Banking - Transfer Money - Question,Money Mangement
how do you transfer money,90,140,170,21%,Finance - Banking - Transfer Money - Question,Money Mangement
atm 24 hours near me,720,880,"1,000",14%,Finance - Banking - ATM - Near Me,Money Mangement
tuition waiver,880,880,"1,000",14%,Finance - Banking - Loans - Student,Financial Hardship
what if i can t pay my bills,10,480,480,0%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
do i have to pay student loans,20,260,260,0%,Finance - Banking - Loans - Student - Question,Financial Hardship
can i defer my credit card payments,20,210,210,0%,Finance - Banking - Credit Cards - Defer - Question,Financial Hardship
what is the government doing about student loans,10,70,70,0%,Finance - Banking - Loans - Student - Question,Financial Hardship
payroll services for small business,"2,900","27,100","27,100",0%,Finance - Banking Payroll,Financial Hardship
student relief aid,70,320,320,0%,Finance - Banking - Loans - Student,Financial Hardship
no tax penalty for early withdrawal,10,40,40,0%,Finance - Banking - Early Withdrawal,Financial Hardship
payroll co,50,70,70,0%,Finance - Banking Payroll,Financial Hardship
payroll year end,50,70,70,0%,Finance - Banking Payroll,Financial Hardship
what is tax relief refund,20,70,70,0%,Finance - Banking - Tax Relief - Question,Financial Hardship
loans nyc,210,720,720,0%,Finance - Banking - Loans,Financial Hardship
payroll relief,"1,300","4,400","4,400",0%,Finance - Banking Payroll,Financial Hardship
credit card relief program,480,"1,600","1,600",0%,Finance - Banking - Credit - Relief,Financial Hardship
payroll australia,40,30,30,0%,Finance - Banking Payroll,Financial Hardship
integrated payroll,90,90,90,0%,Finance - Banking Payroll,Financial Hardship
easy payroll services,20,30,30,0%,Finance - Banking Payroll,Financial Hardship
can i pay my health insurance with a credit card,10,30,30,0%,Finance - Banking - Funds Return - Question,Financial Hardship
mortgage unemployment insurance companies,10,30,30,0%,Finance - Banking - Mortgage,Financial Hardship
tax forbearance,30,90,90,0%,Finance - Banking - Tax Relief,Financial Hardship
how to instantly transfer money from one bank to another,30,90,90,0%,Finance - Banking - Transfer Money - Question,Money Mangement
payroll help,170,320,320,0%,Finance - Banking Payroll,Financial Hardship
delayed payment,390,"1,000","1,000",0%,Finance - Banking - Credit Cards - Delay,Financial Hardship
bank payroll,30,50,50,0%,Finance - Banking Payroll,Financial Hardship
how to send money through bank of america app,20,50,50,0%,Finance - Banking - Transfer Money - Question,Money Mangement
credit card payment protection,30,70,70,0%,Finance - Banking - Credit - Protection,Financial Hardship
payroll for small business free,320,390,390,0%,Finance - Banking Payroll,Financial Hardship
can t pay credit cards,320,720,720,0%,Finance - Banking - Funds Return - Can't,Financial Hardship
can t pay credit card,320,720,720,0%,Finance - Banking - Funds Return - Can't,Financial Hardship
payroll supplies,40,20,20,0%,Finance - Banking Payroll,Financial Hardship
hr payroll outsourcing,10,20,20,0%,Finance - Banking Payroll,Financial Hardship
ontario payroll,30,20,20,0%,Finance - Banking Payroll,Financial Hardship
credit life protection,10,20,20,0%,Finance - Banking - Credit - Protection,Financial Hardship
will credit card companies let you defer payment,10,20,20,0%,Finance - Banking - Credit Cards - Defer,Financial Hardship
retirement plan early withdrawal penalty,10,20,20,0%,Finance - Banking - Early Withdrawal,Financial Hardship
how to ask your bank to waive overdraft fees,10,20,20,0%,Finance - Banking - Fees - Question,Financial Hardship
what happens if i can t pay credit card,20,40,40,0%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
how can i know the date of first delinquency,10,20,20,0%,Finance - Banking - Funds Return - Question,Financial Hardship
can you close bank account with negative balance,10,20,20,0%,Finance - Banking - Funds Return - Question,Financial Hardship
can i pay my cable bill with a credit card,10,20,20,0%,Finance - Banking - Funds Return - Question,Financial Hardship
how secure are mobile banking apps,10,20,20,0%,Finance - Banking - Mobile App - Question,Money Mangement
mortgage unemployment insurance quote,10,20,20,0%,Finance - Banking - Mortgage,Financial Hardship
how do you do a money transfer,10,20,20,0%,Finance - Banking - Transfer Money - Question,Money Mangement
car payment assistance,210,390,390,0%,Finance - Banking - Loans - Auto,Financial Hardship
check cashing atm near me,390,720,720,0%,Finance - Banking - ATM - Near Me,Money Mangement
tax relief,"12,100","22,200","22,200",0%,Finance - Banking - Tax Relief,Financial Hardship
how to transfer money to a friend,50,90,90,0%,Finance - Banking - Transfer Money - Question,Money Mangement
credit card protection plan,40,70,70,0%,Finance - Banking - Credit - Protection,Financial Hardship
can i close my savings account online,30,50,50,0%,Finance - Banking - Closing - Savings - Question,Financial Hardship
penalty for taking 401k early,30,50,50,0%,Finance - Banking - Early Withdrawal - 401k,Financial Hardship
tuition fee waiver,70,110,110,0%,Finance - Banking - Fees,Financial Hardship
how to send money by phone,70,110,110,0%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money electronically,70,110,110,0%,Finance - Banking - Transfer Money - Question,Money Mangement
how to wire money from bank,170,260,260,0%,Finance - Banking - Transfer Money - Question,Money Mangement
how to get federal student loans,390,590,590,0%,Finance - Banking - Loans - Student - Question,Financial Hardship
help pay my bills,390,590,590,0%,Finance - Banking - Relief,Financial Hardship
24 atm near me,20,30,30,0%,Finance - Banking - ATM - Near Me,Money Mangement
can i close a chase bank account online,20,30,30,0%,Finance - Banking - Closing - Question,Financial Hardship
best credit card debt relief companies,20,30,30,0%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
credit card late fees,480,720,720,0%,Finance - Banking - Credit Cards - Fees,Financial Hardship
can t afford to pay bills,20,30,30,0%,Finance - Banking - Funds Return - Can't,Financial Hardship
can you close an overdrawn bank account,20,30,30,0%,Finance - Banking - Funds Return - Question,Financial Hardship
can you pay bills online,20,30,30,0%,Finance - Banking - Funds Return - Question,Financial Hardship
car payment,"12,100","18,100","18,100",0%,Finance - Banking - Loans - Auto,Financial Hardship
how to transfer money over the phone,20,30,30,0%,Finance - Banking - Transfer Money - Question,Money Mangement
how to send money to your bank account,20,30,30,0%,Finance - Banking - Transfer Money - Question,Money Mangement
money deposit atm near me,50,70,70,0%,Finance - Banking - ATM - Near Me,Money Mangement
best credit card debt relief programs,50,70,70,0%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
ira early penalty,30,40,40,0%,Finance - Banking - Early Withdrawal,Financial Hardship
how to transfer money to a friends bank account,30,40,40,0%,Finance - Banking - Transfer Money - Question,Money Mangement
no minimum bank account,70,90,90,0%,Finance - Banking - Fees,Financial Hardship
cancel bank account,170,210,210,0%,Finance - Banking - Cancellation,Financial Hardship
can banks waive overdraft fees,90,110,110,0%,Finance - Banking - Fees,Financial Hardship
student loan forgiveness,"165,000","201,000","201,000",0%,Finance - Banking - Loans - Student,Financial Hardship
how much can i take out in student loans,320,390,390,0%,Finance - Banking - Loans - Student - Question,Financial Hardship
late bills,90,110,110,0%,Finance - Banking - Relief,Financial Hardship
how to check app store balance,140,170,170,0%,Finance - Banking - Mobile App - Question,Money Mangement
banks near me,"550,000","550,000","550,000",0%,Finance - Banking - ATM - Near Me,Money Mangement
bank near me now,"4,400","4,400","4,400",0%,Finance - Banking - ATM - Near Me,Money Mangement
bank atm near me,"4,400","4,400","4,400",0%,Finance - Banking - ATM - Near Me,Money Mangement
no charge atm near me,590,590,590,0%,Finance - Banking - ATM - Near Me,Money Mangement
atm open 24 hours near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
nearest cash machine near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
atm cash available near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
card machine near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
cash machine near me now,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
atm near me with cash available,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
find a cash machine near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
any bank atm near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
atm finder near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
find atm near me with cash,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
locate atms near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
atm with money near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
cashpoint atm locations near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
atm near me app,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
find the nearest atm near me,10,10,10,0%,Finance - Banking - ATM - Near Me,Money Mangement
will i lose my house if i file bankruptcy,260,260,260,0%,Finance - Banking - Bankruptcy,Financial Hardship
how can overdraft help a business,10,10,10,0%,Finance - Banking - Business - Overdraft - Question,Financial Hardship
i m broke and can t pay my bills,10,10,10,0%,Finance - Banking - Cant,Financial Hardship
close account,"3,600","3,600","3,600",0%,Finance - Banking - Closing,Financial Hardship
closing a bank account,"2,400","2,400","2,400",0%,Finance - Banking - Closing,Financial Hardship
close bank account and transfer money,10,10,10,0%,Finance - Banking - Closing,Financial Hardship
can i close my bank account if it is overdrawn,10,10,10,0%,Finance - Banking - Closing - Question,Financial Hardship
can i switch bank accounts online,10,10,10,0%,Finance - Banking - Closing - Question,Financial Hardship
how to close a savings account,720,720,720,0%,Finance - Banking - Closing - Savings - Question,Financial Hardship
